id,Name,titleProject_id,class,score,login,password
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,9wSaDVbh
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,ahIxjpLn
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,RLb6s4Xj
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,vC2UPVBe
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,l9D2nXsK
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,HIodPQIX
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,jr9wktuI
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,Qai7ywYw
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,mBaoIRI0
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,pRfg0VMq
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,TZCbGGDR
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,jNeXxuOx
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,es60afq2
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,r3u5DBtE
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,F3cqEBnq
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,NwyBbyTt
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,levHRygr
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,922lbd2h
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,lQr8w0SR
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,Tm8Yu10U
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,eldpEjaO
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,CtESaLmg
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,I7x5QnGj
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,rFSTZTqb
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,N3PMnyOd
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,4uFFOHUJ
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,AnedIwdf
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,3SRTWKbt
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,GgzwsJue
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,wpoAE69c
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,VAxKeJcq
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,jgiC8a5B
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,HyZUUQDX
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,H9R93Paa
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,B4bdluxu
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,YJlOsvmJ
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,stykpmWm
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,LakaLGGE
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,6MUItlKv
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,jDo2lXxz
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,EB7tQvft
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,U88kCSKk
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,dxngtyfQ
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,3CJvFtup
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,PXU75xOw
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,vsDeQ2Vb
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,TcyI5Ihd
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,mz0SfI5V
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,qHSTRZo7
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,Q40scngm
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,IXUA0cHU
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,nUuWeDwY
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,OsYQ9Gkp
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,rb2xIqXi
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,ahfwFVq4
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,41IDoZbs
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,GmW5FzR2
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,jMtsPjOJ
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,vrHmGwmL
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,Bdq2TbVf
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,hArck9nn
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,pjiuqesE
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,kiY7W1nG
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,tCFNzFF0
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,iWv1jSlL
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,SPzSnZgL
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,QPem3Sry
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,jV0pxFxG
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,IIZvstWy
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,YX6ptloK
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,6mbPGAgO
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,aFX33RlJ
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,u5XOWZkd
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,1UkaLHcJ
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,xnGAglrW
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,6wqJNzA5
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,LiwgycAJ
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,Nv7XgHuf
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,gfk7iNTl
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,k0ARvMKt
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,aYQHwseR
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,wK8I0xoR
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,DjhWCsJp
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,N9Kznqns
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,AAwLjgy6
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,7Er8xKNm
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,Kp1HVpvF
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,e1BYvWCx
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,1xMRZn3C
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,3zCaorYC
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,UjJ3USl9
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,6pKuFUfw
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,WULEfHI2
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,DTq8QL6N
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,xb1HoJtH
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,BWQqeMAK
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,YacPvvwO
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,Y9boa4rc
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,9j1IiMXp
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,m95Tshpf
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,UQTeAAlA
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,GLGT1One
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,oyd2YAmi
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,KuPfKyFd
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,NFl91a8s
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,M1NyTXFB
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,8mgooQMi
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,VFLxHgT3
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,Ye2D5ZF9
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,FqWH2EUU
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,nCkrsi4q
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,UKI80d6G
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,J47jbcDe
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,xeQpIMr0
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,1ZKEwSdG
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,hNjbhBOY
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,vicXHjOu
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,GlF46aqm
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,3z2YCHOK
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,gLfrqbdi
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,tjW8fU1C
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,fTgtJPV2
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,UREWYRzW
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,cLpzmzuV
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,r3Tohdtk
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,WX8hPCSL
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,umk9r9QG
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,YA68p7nK
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,PBIhPD8V
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,RvxHtiLK
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,1lXu4tU9
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,ElO7cxih
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,3uFbaKSA
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,YUAmXn4B
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,4jV006br
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,P9aQFb7q
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,DbKbzu9N
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,pp4KjCRJ
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,JIP3xcUY
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,2jA4mxR3
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,DVfvSXgJ
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,PzjL46p9
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,89EUyTQB
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,hMq7OX7y
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,qAaQrCxP
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,C8INoMh7
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,lxcu3pRW
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,tdFcXcLN
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,tJcWr8HA
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,cgTRYQcF
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,Gkm1ez6U
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,knlJde5M
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,KAIFAl7d
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,TFG8yWnN
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,0L1KCzOU
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,Oat1ECBC
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,qlPMfuCG
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,MCEge9I6
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,lhy25r6i
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,jB6bCqTA
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,AB2EbjXv
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,S6eO1br6
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,DLPnmPxu
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,bEVN93FO
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,sH2edqTV
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,3T1O40Rv
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,t7VLBblc
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,EQEwsyCM
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,RQqqsckK
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,zJj9weEo
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,lq2DcOFs
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,OndFbROi
278,Углова Галина Романовна,260,9г,3,Углова_ГР,Iwr3D0a5
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,qeWdE7Ny
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,moPb6hra
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,BuXNIcrE
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,awyTNVJE
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,uuIH7oY1
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,1PbpY7Wj
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,KqfS4XXe
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,dcgz6voj
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,8KqY3RLq
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,LPBh1zSq
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,W6ZyAxM1
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,TQgBbkXV
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,bYTxcjQF
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,NfwA9bkI
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,vsBwhOOV
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,VbkrfP1M
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,8gCD53vD
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,BO2SMnOT
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,gsj99VED
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,uyOop5Qu
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,nlEcMi0e
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,PRWNorqy
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,JwfNoIWA
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,AqTtgLYZ
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,YfqRfyEz
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,dmQdI6ih
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,lYVAAlsY
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,6i7Xm7H9
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,IwSPAikG
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,F9Rmk51M
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,T6pWEQjc
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,dkKoHHwf
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,74GcCqku
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,FUaFD51g
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,lGX9gjlu
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,nImpufP5
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,ig4LkDme
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,6U3ehGFv
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,C6wjkjDs
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,ctkPauES
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,fZYQfFgj
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,vzLuoGYJ
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,smJhgQg3
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,8RB2qNUa
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,VuRwELoA
